axis,block,Group_x,predicate_label_provisional,n_kept
physical_appearance,badly dressed,badly dressed,competence,26
physical_appearance,badly dressed,badly dressed,criminality,26
physical_appearance,badly dressed,badly dressed,criminality; violence,48
physical_appearance,badly dressed,badly dressed,homelessness; low SES,26
physical_appearance,badly dressed,badly dressed,leadership abilities; competence,52
physical_appearance,badly dressed,badly dressed,partying lifestyle,20
physical_appearance,badly dressed,badly dressed,professional appearance and behavior,26
physical_appearance,badly dressed,badly dressed,substance abuse,24
physical_appearance,obese,obese,diet failure,52
physical_appearance,obese,obese,lazy,16
physical_appearance,obese,obese,unhealthy,24
physical_appearance,obese,obese,unintelligent,18
physical_appearance,pregnant,pregnant,ability to work,52
physical_appearance,short,short,competence,48
physical_appearance,short,short,height,32
